"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-06-13 ~ 2026-06-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 강원특별자치도"
"시군구 : 춘천시"
"읍면동 : 효자동"
"면적 : 전체"
"금액선택 : 30 ~ 1000 만원"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"263","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202602","17","100","32","2001","효제길23번길","202602~202702","신규","-","","","단독다가구"
"264","강원특별자치도 춘천시 효자동","6**","12m미만","45.00","월세","202602","17","500","53","2014","공지로333번길","202602~202702","신규","-","","","단독다가구"
"265","강원특별자치도 춘천시 효자동","7**","25m미만","33.00","월세","202602","16","300","41","2013","백령로119번길","202602~202702","신규","-","","","단독다가구"
"266","강원특별자치도 춘천시 효자동","7**","12m미만","227.75","월세","202602","16","100","28","2001","둥지길","202602~202701","신규","-","","","단독다가구"
"267","강원특별자치도 춘천시 효자동","1**","8m미만","40.00","월세","202602","15","200","37","1990","백령로25번길","202602~202702","신규","-","","","단독다가구"
"268","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202602","15","200","30","1999","법원뒷길","202602~202702","신규","-","","","단독다가구"
"269","강원특별자치도 춘천시 효자동","1**","8m미만","27.00","월세","202602","15","300","47","1996","백령로23번길","202602~202702","신규","-","","","단독다가구"
"270","강원특별자치도 춘천시 효자동","7**","12m미만","227.75","월세","202602","15","100","30","2001","둥지길","202602~202701","신규","-","","","단독다가구"
"271","강원특별자치도 춘천시 효자동","4*","12m미만","20.00","월세","202602","14","300","36","2002","성심로","202603~202702","신규","-","","","단독다가구"
"272","강원특별자치도 춘천시 효자동","7**","25m미만","30.00","월세","202602","14","300","44","2015","성심로","-","-","-","","","단독다가구"
"273","강원특별자치도 춘천시 효자동","7**","8m미만","35.00","월세","202602","14","200","18","1993","백령로","202602~202702","신규","-","","","단독다가구"
"274","강원특별자치도 춘천시 효자동","1*","8m미만","27.00","월세","202602","14","300","40","2005","으뜸길4번길","202602~202702","신규","-","","","단독다가구"
"275","강원특별자치도 춘천시 효자동","7**","12m미만","30.53","월세","202602","14","300","38","2015","남춘로55번길","202603~202702","신규","-","","","단독다가구"
"276","강원특별자치도 춘천시 효자동","6**","8m미만","25.00","월세","202602","14","300","30","1998","서부대성로227번길","202602~202702","신규","-","","","단독다가구"
"277","강원특별자치도 춘천시 효자동","1**","8m미만","42.00","월세","202602","14","100","30","2005","미려골길","202602~202702","신규","-","","","단독다가구"
"278","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202602","14","300","29","2015","백령로67번길","202602~202702","신규","-","","","단독다가구"
"279","강원특별자치도 춘천시 효자동","6**","12m미만","30.00","월세","202602","14","300","30","2007","두하길","202602~202702","신규","-","","","단독다가구"
"280","강원특별자치도 춘천시 효자동","7**","12m미만","68.37","월세","202602","14","1,000","70","1974","효평길","202602~202702","신규","-","","","단독다가구"
"281","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202602","14","200","30","2001","백령로75번길","202602~202701","신규","-","","","단독다가구"
"282","강원특별자치도 춘천시 효자동","6**","8m미만","30.00","월세","202602","13","300","46","2017","춘천로204번길","202602~202702","신규","-","","","단독다가구"
"283","강원특별자치도 춘천시 효자동","7**","8m미만","25.00","월세","202602","13","300","38","1995","백령로","202602~202702","신규","-","","","단독다가구"
"284","강원특별자치도 춘천시 효자동","7**","8m미만","21.00","월세","202602","13","200","30","","백령로111번길","202602~202702","신규","-","","","단독다가구"
"285","강원특별자치도 춘천시 효자동","1**","8m미만","51.15","월세","202602","13","700","37","1973","백령로75번길","202602~202802","신규","-","","","단독다가구"
"286","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202602","13","300","42","2013","성심로66번길","202602~202702","신규","-","","","단독다가구"
"287","강원특별자치도 춘천시 효자동","1**","12m미만","32.00","월세","202602","13","1,000","35","2016","효평길","202602~202702","신규","-","","","단독다가구"
"288","강원특별자치도 춘천시 효자동","6**","12m미만","29.00","월세","202602","13","200","43","2013","춘천로204번길","202602~202702","신규","-","","","단독다가구"
"289","강원특별자치도 춘천시 효자동","4*","12m미만","35.00","월세","202602","12","300","35","2015","성심로","202602~202702","신규","-","","","단독다가구"
"290","강원특별자치도 춘천시 효자동","6**","12m미만","33.00","월세","202602","12","200","30","2005","춘천로204번길","202602~202612","신규","-","","","단독다가구"
"291","강원특별자치도 춘천시 효자동","1**","12m미만","43.00","월세","202602","12","500","57","2016","둥지길","202602~202702","신규","-","","","단독다가구"
"292","강원특별자치도 춘천시 효자동","7**","8m미만","25.00","월세","202602","12","300","43","2021","춘천로255번길","202602~202702","신규","-","","","단독다가구"
"293","강원특별자치도 춘천시 효자동","4*","12m미만","28.00","월세","202602","12","300","41","2017","성심로","202602~202702","신규","-","","","단독다가구"
"294","강원특별자치도 춘천시 효자동","1*","8m미만","23.00","월세","202602","12","300","47","2016","백령로165번길","202602~202702","신규","-","","","단독다가구"
"295","강원특별자치도 춘천시 효자동","7**","12m미만","25.00","월세","202602","12","300","30","2001","삭주로80번길","202602~202702","신규","-","","","단독다가구"
"296","강원특별자치도 춘천시 효자동","1**","8m미만","21.82","월세","202602","12","200","30","1996","백령로25번길","202602~202702","신규","-","","","단독다가구"
"297","강원특별자치도 춘천시 효자동","3**","12m미만","27.00","월세","202602","12","200","29","1996","공지로252번길","202602~202702","신규","-","","","단독다가구"
"298","강원특별자치도 춘천시 효자동","6**","12m미만","29.75","월세","202602","12","300","30","2002","전원길","202602~202702","신규","-","","","단독다가구"
"299","강원특별자치도 춘천시 효자동","1*","8m미만","26.00","월세","202602","11","200","28","2002","백령로165번길","202602~202702","신규","-","","","단독다가구"
"300","강원특별자치도 춘천시 효자동","7**","12m미만","33.00","월세","202602","11","300","40","2017","춘천로296번길","202602~202702","신규","-","","","단독다가구"
"301","강원특별자치도 춘천시 효자동","1**","8m미만","78.30","월세","202602","10","500","40","1994","둥지길","202602~202702","신규","-","","","단독다가구"
"302","강원특별자치도 춘천시 효자동","1**","8m미만","16.50","월세","202602","10","50","23","1995","청운길","202602~202702","신규","-","","","단독다가구"
"303","강원특별자치도 춘천시 효자동","1**","8m미만","218.80","월세","202602","10","100","36","2001","청운길","202602~202702","신규","-","","","단독다가구"
"304","강원특별자치도 춘천시 효자동","7**","12m미만","24.00","월세","202602","10","200","30","1997","효평길","202602~202702","신규","-","","","단독다가구"
"305","강원특별자치도 춘천시 효자동","4**","8m미만","24.00","월세","202602","10","300","40","2015","명주길","202603~202702","신규","-","","","단독다가구"
"306","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202602","10","300","46","","백령로83번길","202602~202702","갱신","-","300","45","단독다가구"
"307","강원특별자치도 춘천시 효자동","1**","8m미만","65.00","월세","202602","10","500","35","1996","백령로75번길","202602~202802","신규","-","","","단독다가구"
"308","강원특별자치도 춘천시 효자동","6**","8m미만","21.00","월세","202602","10","100","25","1983","백령로138번길","202602~202702","신규","-","","","단독다가구"
"309","강원특별자치도 춘천시 효자동","1**","8m미만","18.00","월세","202602","10","100","29","1994","백령로23번길","202602~202702","신규","-","","","단독다가구"
"310","강원특별자치도 춘천시 효자동","7**","8m미만","25.00","월세","202602","10","300","30","2024","백령로","202602~202702","신규","-","","","단독다가구"
"311","강원특별자치도 춘천시 효자동","1**","8m미만","33.00","월세","202602","10","300","30","2016","미려골길","202602~202702","신규","-","","","단독다가구"
"312","강원특별자치도 춘천시 효자동","6**","12m미만","26.00","월세","202602","10","300","30","2015","닥나무길9번길","-","-","-","","","단독다가구"
"313","강원특별자치도 춘천시 효자동","6**","12m미만","37.00","월세","202602","10","100","47","2013","춘천로204번길","202602~202702","신규","-","","","단독다가구"
"314","강원특별자치도 춘천시 효자동","7**","12m미만","25.00","월세","202602","09","300","30","2009","전원길","202602~202702","신규","-","","","단독다가구"
"315","강원특별자치도 춘천시 효자동","3**","8m미만","25.00","월세","202602","09","1,000","36","1998","공지로264번길","202602~202702","신규","-","","","단독다가구"
"316","강원특별자치도 춘천시 효자동","6**","12m미만","24.00","월세","202602","09","300","43","2016","춘천로186번길","202603~202703","신규","-","","","단독다가구"
"317","강원특별자치도 춘천시 효자동","1**","8m미만","21.00","월세","202602","09","200","30","2000","미려골길11번길","-","-","-","","","단독다가구"
"318","강원특별자치도 춘천시 효자동","1*","8m미만","27.00","월세","202602","09","300","40","2005","으뜸길4번길","202602~202802","신규","-","","","단독다가구"
"319","강원특별자치도 춘천시 효자동","1**","8m미만","22.00","월세","202602","09","300","30","1995","서부대성로184번길","202602~202702","신규","-","","","단독다가구"
"320","강원특별자치도 춘천시 효자동","7**","8m미만","23.00","월세","202602","09","200","35","1999","서부대성로206번길","202602~202702","신규","-","","","단독다가구"
"321","강원특별자치도 춘천시 효자동","6**","12m미만","29.00","월세","202602","09","200","42","2013","춘천로204번길","202602~202702","신규","-","","","단독다가구"
"322","강원특별자치도 춘천시 효자동","1**","8m미만","49.35","월세","202602","08","300","45","1975","효자로92번길","202602~202702","신규","-","","","단독다가구"
"323","강원특별자치도 춘천시 효자동","1*","8m미만","25.00","월세","202602","08","300","30","2004","백령로165번길","202602~202702","신규","-","","","단독다가구"
"324","강원특별자치도 춘천시 효자동","7**","8m미만","21.00","월세","202602","08","300","30","2013","백령로119번길","202602~202702","신규","-","","","단독다가구"
"325","강원특별자치도 춘천시 효자동","1**","8m미만","23.00","월세","202602","08","300","43","2017","백령로67번길","202602~202702","신규","-","","","단독다가구"
"326","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202602","08","200","29","2001","백령로75번길","202602~202702","신규","-","","","단독다가구"
"327","강원특별자치도 춘천시 효자동","1**","12m미만","25.00","월세","202602","08","200","30","2016","효제길","202602~202702","신규","-","","","단독다가구"
"328","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202602","08","200","30","1997","백령로23번길","202602~202702","신규","-","","","단독다가구"
"329","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202602","08","100","29","","법원뒷길","202602~202702","신규","-","","","단독다가구"
"330","강원특별자치도 춘천시 효자동","7**","12m미만","45.00","월세","202602","07","500","60","2017","공지로307번길","202602~202702","갱신","사용","500","60","단독다가구"
"331","강원특별자치도 춘천시 효자동","1*","8m미만","29.00","월세","202602","07","300","50","2015","백령로165번길","202602~202702","신규","-","","","단독다가구"
"332","강원특별자치도 춘천시 효자동","3**","8m미만","25.00","월세","202602","07","1,000","33","1998","공지로264번길","202602~202702","신규","-","","","단독다가구"
"333","강원특별자치도 춘천시 효자동","6**","8m미만","33.00","월세","202602","07","200","30","2002","도화길6번길","202602~202702","신규","-","","","단독다가구"
"334","강원특별자치도 춘천시 효자동","1**","8m미만","34.00","월세","202602","07","200","30","2003","돌담길","202602~202702","신규","-","","","단독다가구"
"335","강원특별자치도 춘천시 효자동","2**","8m미만","28.00","월세","202602","07","500","60","2017","공지로","202602~202702","신규","-","","","단독다가구"
"336","강원특별자치도 춘천시 효자동","3**","8m미만","21.00","월세","202602","07","300","35","2018","공지로264번길","202602~202702","신규","-","","","단독다가구"
"337","강원특별자치도 춘천시 효자동","6**","8m미만","25.00","월세","202602","07","300","40","2004","효자로150번길","202602~202612","갱신","-","30","40","단독다가구"
"338","강원특별자치도 춘천시 효자동","1**","8m미만","20.00","월세","202602","07","100","30","1982","백령로25번길","202602~202702","신규","-","","","단독다가구"
"339","강원특별자치도 춘천시 효자동","7**","8m미만","30.00","월세","202602","07","300","40","","백령로115번길","202602~202702","신규","-","","","단독다가구"
"340","강원특별자치도 춘천시 효자동","1**","8m미만","27.00","월세","202602","07","300","30","1996","백령로25번길","202602~202702","신규","-","","","단독다가구"
"341","강원특별자치도 춘천시 효자동","1**","8m미만","21.12","월세","202602","06","300","30","2000","미려골길11번길","202602~202702","신규","-","","","단독다가구"
"342","강원특별자치도 춘천시 효자동","3**","8m미만","21.00","월세","202602","06","300","35","2018","공지로264번길","202602~202702","신규","-","","","단독다가구"
"343","강원특별자치도 춘천시 효자동","6**","8m미만","33.00","월세","202602","06","300","38","2002","백령로147번길","202602~202702","신규","-","","","단독다가구"
"344","강원특별자치도 춘천시 효자동","1*","8m미만","30.00","월세","202602","06","300","37","2010","백령로165번길","202602~202802","신규","-","","","단독다가구"
"345","강원특별자치도 춘천시 효자동","1**","8m미만","26.45","월세","202602","06","100","30","2000","백령로75번길","202602~202702","신규","-","","","단독다가구"
"346","강원특별자치도 춘천시 효자동","6**","8m미만","21.00","월세","202602","06","200","30","","서부대성로227번길","202602~202702","신규","-","","","단독다가구"
"347","강원특별자치도 춘천시 효자동","1**","8m미만","27.00","월세","202602","06","300","44","2017","백령로61번길","202602~202702","갱신","-","300","50","단독다가구"
"348","강원특별자치도 춘천시 효자동","1**","8m미만","21.12","월세","202602","06","300","30","2000","미려골길11번길","202602~202702","신규","-","","","단독다가구"
"349","강원특별자치도 춘천시 효자동","1*","8m미만","28.00","월세","202602","06","300","45","","백령로151번길","202602~202702","신규","-","","","단독다가구"
"350","강원특별자치도 춘천시 효자동","1**","12m미만","30.00","월세","202602","05","200","30","2002","둥지길","202602~202702","신규","-","","","단독다가구"
"351","강원특별자치도 춘천시 효자동","7**","8m미만","30.00","월세","202602","05","300","30","2016","백령로119번길","202602~202702","신규","-","","","단독다가구"
"352","강원특별자치도 춘천시 효자동","6**","8m미만","29.00","월세","202602","05","500","45","2017","춘천로64번길","202602~202702","신규","-","","","단독다가구"
"353","강원특별자치도 춘천시 효자동","1**","25m미만","25.00","월세","202602","05","200","30","1997","백령로","202602~202702","신규","-","","","단독다가구"
"354","강원특별자치도 춘천시 효자동","1**","8m미만","20.00","월세","202602","05","200","30","2013","백령로61번길","202602~202702","신규","-","","","단독다가구"
"355","강원특별자치도 춘천시 효자동","3**","8m미만","21.00","월세","202602","05","100","35","1997","공지로280번길","202602~202702","신규","-","","","단독다가구"
"356","강원특별자치도 춘천시 효자동","1*","8m미만","35.00","월세","202602","05","500","50","2017","백령로165번길","202602~202702","신규","-","","","단독다가구"
"357","강원특별자치도 춘천시 효자동","1*","8m미만","35.00","월세","202602","05","500","50","2017","백령로165번길","202602~202702","신규","-","","","단독다가구"
"358","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202602","05","200","30","2002","돌담길","202602~202702","신규","-","","","단독다가구"
"359","강원특별자치도 춘천시 효자동","6**","12m미만","42.00","월세","202602","05","500","56","2014","춘천로204번길","202602~202702","신규","-","","","단독다가구"
"360","강원특별자치도 춘천시 효자동","1**","8m미만","26.00","월세","202602","05","300","30","2003","청운길","202602~202702","신규","-","","","단독다가구"
"361","강원특별자치도 춘천시 효자동","7**","12m미만","28.00","월세","202602","05","300","43","2014","효평길","202602~202702","신규","-","","","단독다가구"
"362","강원특별자치도 춘천시 효자동","6**","8m미만","86.31","월세","202602","04","1,000","70","1993","서부대성로173번길","202602~202802","신규","-","","","단독다가구"
"363","강원특별자치도 춘천시 효자동","1**","8m미만","23.00","월세","202602","04","100","30","2002","백령로25번길","202602~202702","신규","-","","","단독다가구"
"364","강원특별자치도 춘천시 효자동","1**","8m미만","24.00","월세","202602","04","100","34","2001","미려골길","202602~202702","신규","-","","","단독다가구"
"365","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202602","04","300","50","2015","춘천로204번길","202602~202702","신규","-","","","단독다가구"
"366","강원특별자치도 춘천시 효자동","6**","8m미만","33.00","월세","202602","04","500","52","2019","서부대성로173번길","202602~202702","신규","-","","","단독다가구"
"367","강원특별자치도 춘천시 효자동","7**","12m미만","45.00","월세","202602","03","500","65","2018","효평길","202602~202702","신규","-","","","단독다가구"
"368","강원특별자치도 춘천시 효자동","6**","8m미만","33.00","월세","202602","03","300","38","2002","백령로147번길","202602~202702","신규","-","","","단독다가구"
"369","강원특별자치도 춘천시 효자동","1**","12m미만","26.00","월세","202602","03","200","30","1977","둥지길","202602~202702","신규","-","","","단독다가구"
"370","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202602","03","300","43","2016","백령로23번길","202602~202702","신규","-","","","단독다가구"
"371","강원특별자치도 춘천시 효자동","7**","25m미만","33.94","월세","202602","03","300","40","2015","성심로","202602~202702","신규","-","","","단독다가구"
"372","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202602","03","300","37","2012","춘천로68번길","-","-","-","","","단독다가구"
"373","강원특별자치도 춘천시 효자동","1**","12m미만","19.83","월세","202602","02","100","28","2003","둥지길","202602~202702","신규","-","","","단독다가구"
"374","강원특별자치도 춘천시 효자동","6**","12m미만","25.00","월세","202602","02","300","48","2015","춘천로204번길","-","-","-","","","단독다가구"
"375","강원특별자치도 춘천시 효자동","6**","8m미만","45.00","월세","202602","02","1,000","55","2019","서부대성로173번길","202603~202702","신규","-","","","단독다가구"
"376","강원특별자치도 춘천시 효자동","1**","12m미만","19.83","월세","202602","02","100","29","2003","둥지길","202602~202702","신규","-","","","단독다가구"
"377","강원특별자치도 춘천시 효자동","1*","8m미만","30.00","월세","202602","02","300","35","2010","백령로165번길","202603~202702","신규","-","","","단독다가구"
"378","강원특별자치도 춘천시 효자동","6**","12m미만","25.00","월세","202602","02","300","48","2015","춘천로204번길","202602~202702","신규","-","","","단독다가구"
"379","강원특별자치도 춘천시 효자동","1**","25m이상","25.00","월세","202602","02","100","30","2003","백령로25번길","202602~202702","신규","-","","","단독다가구"
"380","강원특별자치도 춘천시 효자동","1**","8m미만","23.40","월세","202602","01","200","30","2015","백령로25번길","202602~202702","신규","-","","","단독다가구"
"381","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202602","01","200","30","2011","백령로67번길","202602~202702","신규","-","","","단독다가구"
"382","강원특별자치도 춘천시 효자동","1**","8m미만","33.00","월세","202602","01","300","30","2010","효자로102번길","202602~202701","신규","-","","","단독다가구"
"383","강원특별자치도 춘천시 효자동","7**","25m미만","33.00","월세","202602","01","300","41","2013","백령로119번길","202602~202702","신규","-","","","단독다가구"
"384","강원특별자치도 춘천시 효자동","7**","25m미만","33.00","월세","202602","01","300","41","2013","백령로119번길","202602~202702","신규","-","","","단독다가구"
"385","강원특별자치도 춘천시 효자동","1**","8m미만","40.00","월세","202602","01","500","48","2017","백령로23번길","202602~202702","신규","-","","","단독다가구"
"386","강원특별자치도 춘천시 효자동","6**","8m미만","24.00","월세","202602","01","500","50","2017","서부대성로227번길","202602~202702","신규","-","","","단독다가구"
"387","강원특별자치도 춘천시 효자동","1**","8m미만","20.00","월세","202602","01","300","43","2021","백령로67번길","202602~202702","신규","-","","","단독다가구"
"388","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202602","01","300","35","2016","청운길29번길","202602~202701","신규","-","","","단독다가구"
"389","강원특별자치도 춘천시 효자동","6**","25m미만","28.00","월세","202602","01","300","30","2016","효자로","202602~202701","신규","-","","","단독다가구"
"390","강원특별자치도 춘천시 효자동","1**","12m미만","28.00","월세","202602","01","200","30","2015","효제길","202602~202702","신규","-","","","단독다가구"
"391","강원특별자치도 춘천시 효자동","1**","8m미만","24.00","월세","202601","31","300","43","","백령로83번길","202602~202702","신규","-","","","단독다가구"
"392","강원특별자치도 춘천시 효자동","1**","25m미만","23.00","월세","202601","31","200","30","1996","백령로75번길","202602~202702","신규","-","","","단독다가구"
"393","강원특별자치도 춘천시 효자동","1**","8m미만","24.42","월세","202601","31","200","35","2016","미려골길11번길","202602~202701","신규","-","","","단독다가구"
"394","강원특별자치도 춘천시 효자동","7**","8m미만","25.00","월세","202601","31","200","30","2002","백령로111번길","202602~202702","신규","-","","","단독다가구"
"395","강원특별자치도 춘천시 효자동","7**","25m미만","33.00","월세","202601","31","300","41","2013","백령로119번길","202602~202801","신규","-","","","단독다가구"
"396","강원특별자치도 춘천시 효자동","7**","12m미만","24.00","월세","202601","31","300","40","2016","춘천로296번길","202602~202702","신규","-","","","단독다가구"
"397","강원특별자치도 춘천시 효자동","1**","8m미만","22.00","월세","202601","31","200","30","2011","백령로67번길","202602~202702","신규","-","","","단독다가구"
"398","강원특별자치도 춘천시 효자동","1**","8m미만","234.18","월세","202601","31","200","30","2003","백령로61번길","202602~202708","신규","-","","","단독다가구"
"399","강원특별자치도 춘천시 효자동","7**","25m미만","33.00","월세","202601","31","300","30","2002","백령로","-","-","-","","","단독다가구"
"400","강원특별자치도 춘천시 효자동","1**","8m미만","18.00","월세","202601","31","200","30","2003","백령로61번길","202601~202701","신규","-","","","단독다가구"
"401","강원특별자치도 춘천시 효자동","1**","25m미만","20.00","월세","202601","31","200","30","2011","백령로","202602~202702","신규","-","","","단독다가구"
"402","강원특별자치도 춘천시 효자동","1**","25m미만","30.00","월세","202601","31","300","30","1997","백령로","202602~202702","신규","-","","","단독다가구"
"403","강원특별자치도 춘천시 효자동","6**","8m미만","26.00","월세","202601","31","200","30","2005","서부대성로173번길","202602~202701","신규","-","","","단독다가구"
"404","강원특별자치도 춘천시 효자동","1**","12m미만","26.00","월세","202601","31","200","30","2001","효제길","202602~202702","신규","-","","","단독다가구"
"405","강원특별자치도 춘천시 효자동","7**","12m미만","25.00","월세","202601","31","300","30","2009","전원길","202602~202701","신규","-","","","단독다가구"
"406","강원특별자치도 춘천시 효자동","1**","12m미만","25.00","월세","202601","31","300","35","2002","둥지길","202601~202701","신규","-","","","단독다가구"
"407","강원특별자치도 춘천시 효자동","1*","25m미만","17.00","월세","202601","31","200","30","2018","백령로","-","-","-","","","단독다가구"
"408","강원특별자치도 춘천시 효자동","6**","8m미만","25.00","월세","202601","31","300","37","2015","효자로150번길","202602~202702","신규","-","","","단독다가구"
"409","강원특별자치도 춘천시 효자동","4*","12m미만","78.45","월세","202601","31","500","50","1991","두하길25번길","202602~202802","신규","-","","","단독다가구"
"410","강원특별자치도 춘천시 효자동","2**","8m미만","27.00","월세","202601","31","100","38","2016","공지로242번길","202602~202702","신규","-","","","단독다가구"
"411","강원특별자치도 춘천시 효자동","1**","8m미만","20.00","월세","202601","30","300","43","2021","백령로67번길","202602~202702","신규","-","","","단독다가구"
"412","강원특별자치도 춘천시 효자동","4**","8m미만","28.00","월세","202601","30","300","42","","효자로92번길","202602~202702","신규","-","","","단독다가구"
"413","강원특별자치도 춘천시 효자동","7**","8m미만","27.00","월세","202601","30","200","30","1997","백령로111번길","202602~202702","신규","-","","","단독다가구"
"414","강원특별자치도 춘천시 효자동","7**","8m미만","16.25","월세","202601","30","300","26","","백령로115번길","202602~202702","신규","-","","","단독다가구"
"415","강원특별자치도 춘천시 효자동","1**","8m미만","10.00","월세","202601","30","300","35","","효자로102번길","202601~202701","신규","-","","","단독다가구"
"416","강원특별자치도 춘천시 효자동","1**","8m미만","225.00","월세","202601","30","50","35","1998","법원뒷길","202601~202607","신규","-","","","단독다가구"
"417","강원특별자치도 춘천시 효자동","1**","25m미만","19.80","월세","202601","30","100","30","1994","백령로","202601~202701","신규","-","","","단독다가구"
"418","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202601","29","300","30","1999","법원뒷길","202602~202702","신규","-","","","단독다가구"
"419","강원특별자치도 춘천시 효자동","1**","25m미만","22.00","월세","202601","29","300","40","1996","백령로","202602~202702","신규","-","","","단독다가구"
"420","강원특별자치도 춘천시 효자동","1**","12m미만","28.00","월세","202601","29","200","30","2015","효제길","202602~202702","신규","-","","","단독다가구"
"421","강원특별자치도 춘천시 효자동","3**","8m미만","67.84","월세","202601","29","500","55","2001","공지로264번길","202602~202702","신규","-","","","단독다가구"
"422","강원특별자치도 춘천시 효자동","7**","8m미만","21.00","월세","202601","29","300","30","2013","백령로119번길","202602~202702","신규","-","","","단독다가구"
"423","강원특별자치도 춘천시 효자동","6**","12m미만","50.00","월세","202601","29","1,000","45","2018","공지로317번길","-","-","-","","","단독다가구"
"424","강원특별자치도 춘천시 효자동","6**","8m미만","25.00","월세","202601","29","300","35","2004","효자로150번길","202602~202702","신규","-","","","단독다가구"
"425","강원특별자치도 춘천시 효자동","6**","12m미만","28.00","월세","202601","29","300","45","2018","두하길","202601~202701","신규","-","","","단독다가구"
"426","강원특별자치도 춘천시 효자동","1**","8m미만","23.00","월세","202601","28","300","44","2017","백령로67번길","202602~202702","신규","-","","","단독다가구"
"427","강원특별자치도 춘천시 효자동","1**","8m미만","30.00","월세","202601","28","300","30","2020","백령로67번길","202602~202702","신규","-","","","단독다가구"
"428","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202601","28","200","30","2002","백령로119번길","-","-","-","","","단독다가구"
"429","강원특별자치도 춘천시 효자동","1*","8m미만","23.00","월세","202601","28","300","38","2016","백령로151번길","202602~202702","신규","-","","","단독다가구"
"430","강원특별자치도 춘천시 효자동","1**","12m미만","24.00","월세","202601","28","300","40","2016","둥지길","202602~202702","신규","-","","","단독다가구"
"431","강원특별자치도 춘천시 효자동","1**","8m미만","24.00","월세","202601","28","200","30","2001","효제길23번길","202602~202702","신규","-","","","단독다가구"
"432","강원특별자치도 춘천시 효자동","7**","12m미만","14.00","월세","202601","27","50","30","1992","둥지길","202602~202701","신규","-","","","단독다가구"
"433","강원특별자치도 춘천시 효자동","7**","12m미만","30.53","월세","202601","27","300","40","2015","남춘로55번길","202602~202701","신규","-","","","단독다가구"
"434","강원특별자치도 춘천시 효자동","1**","8m미만","21.12","월세","202601","27","300","30","2000","미려골길11번길","202602~202702","신규","-","","","단독다가구"
"435","강원특별자치도 춘천시 효자동","1**","12m미만","25.00","월세","202601","27","200","32","1992","둥지길","202602~202702","갱신","-","200","31","단독다가구"
"436","강원특별자치도 춘천시 효자동","6**","8m미만","21.00","월세","202601","27","300","30","","서부대성로227번길","202602~202702","신규","-","","","단독다가구"
"437","강원특별자치도 춘천시 효자동","4**","8m미만","33.00","월세","202601","27","300","29","2014","명주길","-","-","-","","","단독다가구"
"438","강원특별자치도 춘천시 효자동","2**","8m미만","28.00","월세","202601","27","1,000","35","2017","공지로","202603~202703","신규","-","","","단독다가구"
"439","강원특별자치도 춘천시 효자동","7**","12m미만","25.00","월세","202601","27","300","37","2012","춘천로296번길","202602~202702","신규","-","","","단독다가구"
"440","강원특별자치도 춘천시 효자동","1*","8m미만","33.00","월세","202601","27","500","50","2017","백령로165번길","202602~202701","신규","-","","","단독다가구"
"441","강원특별자치도 춘천시 효자동","1**","8m미만","63.10","월세","202601","27","500","53","1991","청운길","202602~202702","신규","-","","","단독다가구"
"442","강원특별자치도 춘천시 효자동","6**","12m미만","48.00","월세","202601","27","500","60","2017","춘천로204번길","202603~202703","신규","-","","","단독다가구"
"443","강원특별자치도 춘천시 효자동","1**","8m미만","28.00","월세","202601","27","100","36","2001","청운길","202602~202702","신규","-","","","단독다가구"
"444","강원특별자치도 춘천시 효자동","1**","8m미만","25.00","월세","202601","27","100","30","1998","백령로75번길","-","-","-","","","단독다가구"
"445","강원특별자치도 춘천시 효자동","1**","8m미만","22.43","월세","202601","26","300","30","2000","미려골길11번길","202602~202702","신규","-","","","단독다가구"
